product_name,product_color,memory_size_in_gb,ratings,ram_size_in_gb,rom_size_in_gb,product_size_in_inches,front_cam_mp,battery_size_mAh,price_in_rupees
POCO X2 ,Matrix Purple,128,4.5,6,128,6.67,20,4500,"₹18,499"
Infinix Hot 9 ,Ocean Wave,64,4.6,4,64,6.6,8,5000,"₹9,499"
Infinix Hot 9 ,Violet,64,4.6,4,64,6.6,8,5000,"₹9,499"
Realme Narzo 10 ,That Green,128,4.5,4,128,6.5,16,5000,"₹11,999"
Realme Narzo 10 ,That Blue,128,4.5,4,128,6.5,16,5000,"₹11,999"
Realme Narzo 10 ,That White,128,4.5,4,128,6.5,16,5000,"₹11,999"
POCO X2 ,Atlantis Blue,128,4.5,6,128,6.67,20,4500,"₹18,499"
Redmi Note 8 Pro ,Halo White,128,4.4,6,128,6.53,20,4500,"₹16,999"
Realme 6 Pro ,Lightning Blue,64,4.5,6,64,6.6,16,4300,"₹17,999"
POCO X2 ,Matrix Purple,64,4.5,6,64,6.67,20,4500,"₹17,499"
Vivo U10 ,Thunder Black,32,4.4,3,32,6.35,8,5000,"₹10,990"
Vivo U10 ,Electric Blue,32,4.4,3,32,6.35,8,5000,"₹10,990"
Motorola One Fusion+ ,Twilight Blue,128,4.5,6,128,6.5,16,5000,"₹17,499"
OPPO A12 ,Blue,32,4.3,3,32,6.22,5,4230,"₹9,990"
OPPO A12 ,Black,32,4.3,3,32,6.22,5,4230,"₹9,990"
Tecno Spark Power 2 ,Ice Jadeite,64,4.3,4,64,7,16,6000,"₹9,999"
Tecno Spark Power 2 ,Misty Grey,64,4.3,4,64,7,16,6000,"₹9,999"
OPPO A9 2020 ,Space Purple,128,4.3,8,128, , ,5000,"₹15,990"
OPPO A5s ,Blue,32,4.3,2,32,6.2,8,4230,"₹8,990"
Samsung Galaxy M01 ,Black,32,4.3,3,32,5.7,5,4000,"₹9,938"
Vivo Z1x ,Fusion Blue,128,4.4,8,128, , ,4500,"₹18,990"
OPPO A31 ,Fantasy White,128,4.3,6,128,6.5,8,4230,"₹14,990"
OPPO A31 ,Mystery Black,128,4.3,6,128,6.5,8,4230,"₹14,990"
Vivo Y11 ,Agate Red,32,4.4,3,32, , ,5000,"₹11,168"
Vivo Y11 ,Mineral Blue,32,4.4,3,32, , ,5000,"₹11,173"
Vivo Y30 ,Emerald Black,128,4.3,4,128,6.47,8,5000,"₹14,990"
Vivo Y30 ,Dazzle Blue,128,4.3,4,128,6.47,8,5000,"₹14,990"
Panasonic Eluga I8 ,Charcoal Black,32,3.9,3,32,6.22,8,,"₹8,861"
Realme Narzo 10A ,So White,64,4.5,4,64,6.52,5,5000,"₹9,999"
Realme Narzo 10A ,So Blue,64,4.5,4,64,6.52,5,5000,"₹9,999"
Realme Narzo 10A ,So White,32,4.6,3,32,6.52,5,5000,"₹8,999"
Itel IT 2163, , ,4,32,32,1.8, , ,₹949
Realme Narzo 10A ,So Blue,32,4.6,3,32,6.52,5,5000,"₹8,999"
OPPO A5s ,Green,64,4.3,4,64,6.2,8,4230,"₹11,990"
Vivo Y91i ,Fusion Black,32,4.4,2,32,6.22,5,,"₹8,488"
Karbonn KX3, , ,3.9,32,32,1.8, ,800,₹799
Vivo Z1x ,Fusion Blue,64,4.4,6,64, , ,4500,"₹16,990"
Vivo Z1x ,Phantom Purple,128,4.4,8,128, , ,4500,"₹18,990"
Vivo Z1x ,Phantom Purple,64,4.4,6,64, , ,4500,"₹16,990"
OPPO F15 ,Blazing Blue,128,4.4,8,128,6.4,16,4000,"₹18,990"
Apple iPhone SE ,Black,64,4.5,64, , , ,,"₹42,500"
Vivo Y91i ,Ocean Blue,32,4.4,2,32,6.22,5,,"₹8,278"
